"status","copyright","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593136966",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FOUT%252BOF%252BMANY%25252C%252BONE%252FGeorge%252BW.%252BBush%252F9780593136966&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DOUT%252BOF%252BMANY%25252C%252BONE%252BGeorge%252BW.%252BBush",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593136966&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DOUT%2BOF%2BMANY%252C%2BONE",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593136966%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DOUT%2BOF%2BMANY%252C%2BONE%2BGeorge%2BW.%2BBush%26aff%3DNYT",""
"","","","","","","","","","","","","","","7","6","39","0","0","0593230256","9780593230251","Random House","The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.","0.00","CASTE","Isabel Wilkerson","by Isabel Wilkerson","","https://storage.googleapis.com/du-prd/books/images/9780593230251.jpg","330","500","https://www.amazon.com/dp/0593230256?tag=NYTBSREV-20","","","","","","0593230256","9780593230251","Amazon","https://www.amazon.com/dp/0593230256?tag=NYTBSREV-20","nyt://book/970c3c3d-b5b3-5cf4-bd49-fa2e441babb7"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0593241460","9780593241462","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=CASTE&author=Isabel+Wilkerson",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1432885162","9781432885168","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593230251",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FCASTE%252FIsabel%252BWilkerson%252F9780593230251&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DCASTE%252BIsabel%252BWilkerson",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593230251&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DCASTE",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593230251%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DCASTE%2BIsabel%2BWilkerson%26aff%3DNYT",""
