,results__bestsellers_date,results__published_date,results__display_name,results__normal_list_ends_at,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
17989,9/24/2016,10/9/2016,,,5.0,385535732,9.78039E+12,"The young Winston Churchill’s adventures in Africa during the Boer War, including an escape from captivity in 1899.",HERO OF THE EMPIRE,Candice Millard
18025,9/24/2016,10/9/2016,,,11.0,812993624,9.78081E+12,"A memoir by a “Saturday Night Live” alumnus, a onetime ""Weekend Update: anchor.",BASED ON A TRUE STORY,Norm Macdonald
18031,9/24/2016,10/9/2016,,,12.0,1501141023,9.7815E+12,The threat to the United States of shariah law and the dangers of Islamist radicalism.,UNHOLY ALLIANCE,Jay Sekulow
18069,9/24/2016,10/9/2016,,,18.0,150112515X,9.7815E+12,A memoir by the wife of the basketball star Magic Johnson.,BELIEVING IN MAGIC,Cookie Johnson with Denene Millner
18156,12/1/2018,12/16/2018,,,11.0,1546076220,9.78155E+12,The authors of “Let Trump Be Trump” give their perspectives on the president’s foes.,TRUMP'S ENEMIES,Corey R Lewandowski and David N Bossie
18199,11/21/2020,12/6/2020,,,3.0,1797205099,9.7818E+12,The country music icon offers insights on 175 of her songs.,"DOLLY PARTON, SONGTELLER",Dolly Parton with Robert K Oermann
18205,11/21/2020,12/6/2020,,,4.0,1250265614,9.78125E+12,The actor discusses the challenges he has faced with Parkinson’s disease and other setbacks that caused him to reassess his outlook.,NO TIME LIKE THE FUTURE,Michael J Fox
18211,11/21/2020,12/6/2020,,,5.0,62962752,9.78006E+12,The host of the Food Network show “The Pioneer Woman” shares stories on motherhood and marriage.,FRONTIER FOLLIES,Ree Drummond
18241,11/21/2020,12/6/2020,,,10.0,1250625084,9.78125E+12,A style journalist looks at the fashion of four members of the British royal family.,HRH,Elizabeth Holmes
18247,11/21/2020,12/6/2020,,,11.0,316628247,9.78032E+12,A collection of the humorist’s essays including “Me Talk Pretty One Day” and “A Guy Walks Into a Bar Car.”,THE BEST OF ME,David Sedaris
18254,11/21/2020,12/6/2020,,,12.0,1250800463,9.78125E+12,A look at some questions and concepts needed to address systemic racism.,UNCOMFORTABLE CONVERSATIONS WITH A BLACK MAN,Emmanuel Acho
18260,11/21/2020,12/6/2020,,,13.0,62997459,9.78006E+12,The Pulitzer Prize-winning journalist explains the influence of the ancient Greeks and Romans on the thinking of America’s founding fathers.,FIRST PRINCIPLES,Thomas E Ricks
18284,4/21/2018,5/6/2018,,,2.0,62802186,9.78006E+12,The former secretary of state examines the legacy of fascism in the 20th century and its potential revival.,FASCISM: A Warning,Madeleine Albright with Bill Woodward
18303,4/21/2018,5/6/2018,,,5.0,1538728753,9.78154E+12,"Details of the 2016 presidential election, with an emphasis on Russia's possible involvement.",RUSSIAN ROULETTE,Michael Isikoff and David Corn
18335,4/21/2018,5/6/2018,,,9.0,525520104,9.78053E+12,"An exploration of the history, politics and economics of the Lone Star State.",GOD SAVE TEXAS,Lawrence Wright
18347,4/21/2018,5/6/2018,,,11.0,1630061026,9.78163E+12,"The conservative commentator describes a secret conspiracy to undermine the Trump presidency. From the author of ""The Obama Nation.""",KILLING THE DEEP STATE,Jerome R Corsi
18353,4/21/2018,5/6/2018,,,12.0,1501126423,9.7815E+12,A deeper look at the personal and professional triumphs and disasters of the champion golfer.,TIGER WOODS,Jeff Benedict and Armen Keteyian
18359,4/21/2018,5/6/2018,,,13.0,1538747359,9.78154E+12,A biography of the actress and fiancée of Prince Harry.,MEGHAN,Andrew Morton
18371,4/21/2018,5/6/2018,,,15.0,62837877,9.78006E+12,A star of “This Is Us” describes her journey toward self-acceptance.,THIS IS ME,Chrissy Metz
18377,2/20/2021,3/7/2021,Combined Print & E-Book Nonfiction,15.0,1.0,385546130,9.78039E+12,"A prescription for what business, governments and individuals can do to work toward zero emissions.",HOW TO AVOID A CLIMATE DISASTER,Bill Gates
18389,2/20/2021,3/7/2021,,,3.0,525509569,9.78053E+12,The chair of the board of the racial justice organization Color of Change analyzes the impact of racism on the economy.,THE SUM OF US,Heather McGhee
18449,2/20/2021,3/7/2021,,,13.0,525560688,9.78053E+12,"In 2014, a group of all-female Kurdish militia faced off against ISIS in a small town in Syria.",THE DAUGHTERS OF KOBANI,Gayle Tzemach Lemmon
18455,2/20/2021,3/7/2021,,,14.0,1984880330,9.78198E+12,The companion book to the PBS series that provides a look at five centuries of the meaning and functions of the Black church in America.,THE BLACK CHURCH,"Henry Louis Gates, Jr"
18690,1/14/2017,1/29/2017,,,6.0,399173595,9.7804E+12,"Recollections of life on the set of the first Star Wars movie by the actress and writer, who died in December.",THE PRINCESS DIARIST,Carrie Fisher
18702,1/14/2017,1/29/2017,,,8.0,143915371X,9.78144E+12,A memoir based on Fisher’s one-woman autobiographical show. Originally published in 2008.,WISHFUL DRINKING,Carrie Fisher
18720,1/14/2017,1/29/2017,,,11.0,,9.78006E+12,"A second memoir by the actress, singer and dancer presents stories about her show-business friends, her man and money troubles, and her children. ",UNSINKABLE,Debbie Reynolds and Dorian Hannaway
18744,1/14/2017,1/29/2017,,,15.0,1610397843,9.78161E+12,A call for economic policies that will promote economic growth by encouraging Main Street capitalism (small businesses and start-ups) rather than Wall Street capitalism.,THE GREAT EQUALIZER,David M Smick
18762,1/14/2017,1/29/2017,,,18.0,307701646,9.78031E+12,A science writer warns of sugar’s dangers.,CASE AGAINST SUGAR,Gary Taubes
18780,10/16/2021,10/31/2021,Combined Print & E-Book Nonfiction,15.0,1.0,059323152X,9.78059E+12,The congressman from California describes risks to our democracy and the resurgence of autocracy.,MIDNIGHT IN WASHINGTON,Adam Schiff
18786,10/16/2021,10/31/2021,,,2.0,63039540,9.78006E+12,The Fox News chief political anchor recounts challenges faced by Ulysses S. Grant.,TO RESCUE THE REPUBLIC,Bret Baier with Catherine Whitney
18798,10/16/2021,10/31/2021,,,4.0,006306524X,9.78006E+12,"The Howard brothers credit their success in Hollywood to their Midwestern parents, Rance and Jean.",THE BOYS,Ron Howard and Clint Howard
18804,10/16/2021,10/31/2021,,,5.0,1982182911,9.78198E+12,The Washington Post journalists detail the dangers and challenges during the transition to the Biden presidency.,PERIL,Bob Woodward and Robert Costa
18810,10/16/2021,10/31/2021,,,6.0,759554269,9.78076E+12,A collection of stories from people working in big-city and small-town hospitals.,E.R. NURSES,James Patterson and Matt Eversmann with Chris Mooney
18816,10/16/2021,10/31/2021,,,7.0,62964615,9.78006E+12,The CNN host and descendant of the Vanderbilt family charts the rise and fall of this American dynasty.,VANDERBILT,Anderson Cooper and Katherine Howe
