,results__bestsellers_date,results__published_date,results__display_name,results__normal_list_ends_at,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
44610,11/19/2016,12/4/2016,,,16.0,307889785,9.78031E+12,A memoir by the guitarist and principal songwriter of the Band.,TESTIMONY,Robbie Robertson
44634,11/19/2016,12/4/2016,,,20.0,1591848083,9.78159E+12,,THE ROAD TO RUIN,James Rickards
44758,6/4/2011,6/19/2011,,,19.0,307382338,9.78031E+12,Frank Sinatra’s fourth wife details life with Ol’ Blue Eyes.,LADY BLUE EYES,Barbara Sinatra with Wendy Holden
44923,10/31/2015,11/15/2015,,,11.0,1594486638,9.78159E+12,The guitarist of the riot girrl band Sleater-Kinney (and co-star of “Portlandia”) describes finding a life in music.,HUNGER MAKES ME A MODERN GIRL,Carrie Brownstein
44968,10/31/2015,11/15/2015,,,18.0,307719987,9.78031E+12,The story behind a Cold War prisoner exchange in 1962.,BRIDGE OF SPIES,Giles Whittell
45036,6/23/2012,7/8/2012,,,8.0,1439160406,9.78144E+12,"A deeply researched account of the president’s family background, childhood and coming-of-age shows the forces that shaped him.",BARACK OBAMA,David Maraniss
45106,6/23/2012,7/8/2012,,,19.0,1591845505,9.78159E+12,A former managing director of Bain Capital and a major Romney contributor argues that growing income inequality shows the American economy is working.,UNINTENDED CONSEQUENCES,Edward Conard
45291,5/18/2013,6/2/2013,,,9.0,1476725195,9.78148E+12,The story of an American teacher in Somalia who was rescued by Navy SEAL Team Six after being held hostage by pirates.,IMPOSSIBLE ODDS,Jessica Buchanan
45355,5/18/2013,6/2/2013,,,19.0,62272853,9.78006E+12,Observations about leadership and life from the Bush administration defense secretary and Iraq war defender.,RUMSFELD'S RULES,Donald Rumsfeld
45438,8/18/2018,9/2/2018,,,12.0,1451676646,9.78145E+12,Portraits of six American combatants who served in the wars in Afghanistan and Iraq.,THE FIGHTERS,CJ Chivers
45444,8/18/2018,9/2/2018,,,13.0,1476776628,9.78148E+12,The lives of molecular biologists and their discoveries involving the movement of genes across species lines.,TANGLED TREE,David Quammen
45495,10/12/2013,10/27/2013,,,6.0,1451687370,9.78145E+12,"Sex, greed and scandal motivate a murder on Washington State’s Whidbey Island.",PRACTICE TO DECEIVE,Ann Rule
45543,10/12/2013,10/27/2013,,,14.0,1400205395,9.7814E+12,"Thoughts on faith from the author of the video poem ""Why I Hate Religion, but Love Jesus.""",JESUS > RELIGION,Jefferson Bethke
45549,10/12/2013,10/27/2013,,,15.0,62114867,9.78006E+12,"The author of ""Emotional Intelligence"" relies on research on attention to argue that high achievement requires three kinds of focus.",FOCUS,Daniel Goleman
45581,10/12/2013,10/27/2013,,,20.0,770437540,9.78077E+12,Two ESPN investigative reporters conclude that the N.F.L. has tried to cover up mounting evidence of brain damage sustained by football players.,LEAGUE OF DENIAL,Mark Fainaru-Wada and Steve Fainaru
45701,7/25/2020,8/9/2020,,,4.0,006300187X,9.78006E+12,"The conservative commentator describes what he perceives as threats to American history, ideals and culture.",HOW TO DESTROY AMERICA IN THREE EASY STEPS,Ben Shapiro
45744,7/25/2020,8/9/2020,,,11.0,385545800,9.78039E+12,The Pulitzer Prize–winning historian looks at the rise of nationalism and authoritarianism around the world.,TWILIGHT OF DEMOCRACY,Anne Applebaum
45762,7/25/2020,8/9/2020,,,14.0,1476797714,9.78148E+12,A memoir by the recently deceased leader in the American civil rights movement and representative for Georgia’s Fifth Congressional District.,WALKING WITH THE WIND,John Lewis and Michael D'Orso
45792,10/31/2020,11/15/2020,,,4.0,1982154616,9.78198E+12,A law student grappling with feelings of sadness and isolation is invited to join a psychotherapy group.,GROUP,Christie Tate
45840,10/31/2020,11/15/2020,,,12.0,593239261,9.78059E+12,The New York State governor gives his perspective on the Covid-19 crisis and prescribes ways to deal with future disasters.,AMERICAN CRISIS,Andrew Cuomo
45929,6/27/2015,7/12/2015,,,11.0,1476794715,9.78148E+12,"The stars of TLC's ""The Little Couple"" offer a behind-the-scenes account of their relationship, their family and their professional lives.",LIFE IS SHORT (NO PUN INTENDED),Jennifer Arnold and Bill Klein
46061,10/23/2021,11/7/2021,,,11.0,030692370X,9.78031E+12,The founding member of Mötley Crüe chronicles his journey to finding his rock persona and years of sobriety.,THE FIRST 21,Frank Feranna and Nikki Sixx
46157,8/13/2016,8/28/2016,,,11.0,006244137X,9.78006E+12,The history of the Creative Artists Agency and its role in Hollywood and popular culture over the past 50 years.,POWERHOUSE,James Andrew Miller
46181,8/13/2016,8/28/2016,,,15.0,1250087104,9.78125E+12,"A friend of Adnan Syed, whose murder case was the focus of the popular podcast “Serial,” maintains his innocence.",ADNAN'S STORY,Rabia Chaudry
46213,8/13/2016,8/28/2016,,,20.0,006234286X,9.78006E+12,A biography of Meryl Streep.,HER AGAIN,Michael Schulman
46411,9/15/2012,9/30/2012,,,11.0,1451674139,9.78145E+12,"A global account of the 18 months after 9/11, with emphasis on the Bush administration’s panicked response.",500 DAYS,Kurt Eichenwald
46439,9/15/2012,9/30/2012,,,15.0,1400069831,9.7814E+12,Predicting the next cycle of conflict on the basis of temperature and topography.,REVENGE OF GEOGRAPHY,Robert D Kaplan
46466,9/15/2012,9/30/2012,,,19.0,307887863,9.78031E+12,The TV star’s experience as a beginning teacher in Philadelphia in 2009.,I'D LIKE TO APOLOGIZE TO EVERY TEACHER I EVER HAD,Tony Danza
46629,6/28/2014,7/13/2014,,,4.0,345526317,9.78035E+12,"Humorous tales of marriage, family and missteps.",IT LOOKED DIFFERENT ON THE MODEL,Laurie Notaro
46643,6/28/2014,7/13/2014,,,6.0,None,9.7808E+12,"A multi-generational portrait of a Chinese-American family’s experience in the United States, the title’s “Gold Mountain.”",ON GOLD MOUNTAIN,Lisa See
46667,6/28/2014,7/13/2014,,,9.0,,9.78006E+12,"A winner of ""The Bachelor"" shares her reality-TV story.",I DIDN'T COME HERE TO MAKE FRIENDS,Courtney Robertson with Deb Baer
46714,6/28/2014,7/13/2014,,,16.0,345516680,9.78035E+12,"Three sisters — Mary, Katherine and Jane Grey — who were victims in a notoriously vicious Tudor power struggle.",THE SISTERS WHO WOULD BE QUEEN,Leanda de Lisle
46865,12/8/2012,12/23/2012,,,20.0,812993683,9.78081E+12,The 2012 presidential campaign in humorous verse.,DOGFIGHT,Calvin Trillin
47076,2/7/2015,2/22/2015,,,16.0,307790517,9.78031E+12,An account of the life of Priscilla Beaulieu Presley and her marriage to Elvis.,CHILD BRIDE,Suzanne Finstad
47082,2/7/2015,2/22/2015,,,17.0,307795292,9.78031E+12,A journalist’s account of a man who was caught pilfering 200 rare orchids.,THE ORCHID THIEF,Susan Orlean
47094,2/7/2015,2/22/2015,,,19.0,345493818,9.78035E+12,A naturalist learns life lessons from her 750 pound pig.,THE GOOD GOOD PIG,Sy Montgomery
47183,2/23/2019,3/10/2019,,,13.0,385542844,9.78039E+12,A former drug user who became a neuroscientist gives insights on addiction.,NEVER ENOUGH,Judith Grisel
47195,2/23/2019,3/10/2019,,,15.0,1472966155,9.78147E+12,"The cover-up of sexual abuse, the clerical culture of secrecy and the double lives of priests in the Roman Catholic Church.",IN THE CLOSET OF THE VATICAN,Frédéric Martel
47301,2/18/2012,3/4/2012,,,15.0,1250002966,9.78125E+12,"The life of Wallis Warfield Simpson, for whom Edward VIII gave up his throne.",THAT WOMAN,Anne Sebba
47370,10/3/2015,10/18/2015,,,6.0,440339146,9.78044E+12,The story of England’s most notorious dynasty. Originally published in 2010.,THE TUDORS,G J Meyer
47397,10/3/2015,10/18/2015,,,10.0,1621574377,9.78162E+12,A unflattering portrait of Hillary Clinton.,UNLIKEABLE,Edward Klein
47403,10/3/2015,10/18/2015,,,11.0,385350570,9.78039E+12,"The former secretary of labor in the Clinton administration, now a professor of public policy, considers how to reverse income inequality.",SAVING CAPITALISM,Robert B Reich
47416,10/3/2015,10/18/2015,,,13.0,767932129,9.78077E+12,A cook moves to Paris: adventures and recipes. Originally published in 2009.,THE SWEET LIFE IN PARIS,David Lebovitz
47422,10/3/2015,10/18/2015,,,14.0,553392999,9.78055E+12,"The experience of a ""Good Morning America"" anchor who received a diagnosis of breast cancer.",BETTER,Amy Robach
47434,10/3/2015,10/18/2015,,,16.0,080413670X,9.7808E+12,,SUPERFORECASTING,Philip E Tetlock and Dan Gardner
47446,10/3/2015,10/18/2015,,,18.0,544323521,9.78054E+12,"In his 10th travel book, Theroux journeys in the rural American South.",DEEP SOUTH,Paul Theroux
47458,10/3/2015,10/18/2015,,,20.0,1250083974,9.78125E+12,A memoir by the wife of the 2012 Republican presidential candidate discusses her faith and family.,IN THIS TOGETHER,Ann Romney
47476,4/3/2021,4/18/2021,,,3.0,525656766,9.78053E+12,The actress and human rights activist recounts her childhood difficulties and biggest accomplishments.,THE BEAUTY OF LIVING TWICE,Sharon Stone
47530,4/3/2021,4/18/2021,,,12.0,006289921X,9.78006E+12,"How popular culture was impacted by what happened in Los Angeles in 1974 in movies, music, television and politics.",ROCK ME ON THE WATER,Ronald Brownstein
47536,4/3/2021,4/18/2021,,,13.0,812997298,9.78081E+12,A Pulitzer Prize–winning investigative reporter formerly with The New York Times looks at ways food can be addictive.,HOOKED,Michael Moss
47542,4/3/2021,4/18/2021,,,14.0,316257575,9.78032E+12,The CNN host looks at the impact of racism on his life and prescribes ways to address systemic flaws in America.,THIS IS THE FIRE,Don Lemon
47548,4/3/2021,4/18/2021,,,15.0,1538718502,9.78154E+12,A memoir by the biracial daughter of an American father and a Thai-Chinese mother who served in the Iraq War and is currently a senator from Illinois.,EVERY DAY IS A GIFT,Tammy Duckworth
47643,10/10/2015,10/25/2015,,,15.0,316244570,9.78032E+12,"A memoir by the songwriter, lead singer and lead guitarist of Creedence Clearwater Revival.",FORTUNATE SON,John Fogerty with Jimmy McDonough
47668,10/10/2015,10/25/2015,,,19.0,718042220,9.78072E+12,"The evangelist shares his vision of Heaven, the afterlife and eternity.",WHERE I AM,Billy Graham
47741,1/12/2019,1/27/2019,,,10.0,1419734946,9.78142E+12,Essays and interviews by former TV critics from New Jersey’s Star-Ledger to mark the 20th anniversary of the show’s debut.,THE SOPRANOS SESSIONS,Matt Zoller Seitz and Alan Sepinwall
47838,8/1/2020,8/16/2020,,,11.0,059329761X,9.78059E+12,"Six essays exploring topics, such as isolation, compassion and the relationship between time and work, which were considered during an unprecedented situation.",INTIMATIONS,Zadie Smith
47990,12/17/2011,1/1/2012,,,18.0,670022705,9.78067E+12,British Museum curators attempt to tell the story of mankind through objects in the museum’s collections.,A HISTORY OF THE WORLD IN 100 OBJECTS,Neil MacGregor
48411,9/3/2016,9/18/2016,,,13.0,316404624,9.78032E+12,"The novelist argues that, contrary to the theories of Noam Chomsky, there is no evolutionary explanation for language.",THE KINGDOM OF SPEECH,Tom Wolfe
48484,9/8/2018,9/23/2018,,,4.0,802128238,9.7808E+12,"A memoir about the author's difficult relationship with her father, Steve Jobs.",SMALL FRY,Lisa Brennan-Jobs
48502,9/8/2018,9/23/2018,,,7.0,1501178954,9.7815E+12,"A memoir by the former Massachusetts senator, secretary of state and 2004 Democratic presidential nominee.",EVERY DAY IS EXTRA,John Kerry
48508,9/8/2018,9/23/2018,,,8.0,735224897,9.78074E+12,An investigation of cultural trends that the authors argue are failing the next generation.,THE CODDLING OF THE AMERICAN MIND,Greg Lukianoff and Jonathan Haidt
48527,9/8/2018,9/23/2018,,,11.0,399185429,9.7804E+12,The New York Times Magazine’s chief national correspondent examines professional football’s current economic success and cultural dominance.,BIG GAME,Mark Leibovich
48640,6/14/2014,6/29/2014,,,13.0,374298637,9.78037E+12,The cult-film director hitchhikes across the country.,CARSICK,John Waters
48684,6/14/2014,6/29/2014,,,20.0,553908251,9.78055E+12,"The life of Matilda, wife of William I, set against a transformative period in European history.",QUEEN OF THE CONQUEROR,Tracy Borman
48708,10/20/2012,11/4/2012,,,4.0,802120342,9.7808E+12,"From 9/11 to the killing of Osama bin Laden, from the author of “Black Hawk Down.”",THE FINISH,Mark Bowden
48714,10/20/2012,11/4/2012,,,5.0,None,9.7811E+12,The pastor of New York’s Redeemer Presbyterian church relies on the Bible to argue that marriage is meant to bring us closer to God.,THE MEANING OF MARRIAGE,Timothy Keller with Kathy Keller
48726,10/20/2012,11/4/2012,,,7.0,525958002,9.78053E+12,A memoir by the bass player and founding member of Duran Duran.,IN THE PLEASURE GROOVE,John Taylor with Tom Sykes
48931,7/23/2011,8/7/2011,,,18.0,345530608,9.78035E+12,"The novelist remembers his golden retriever, Trixie.",A BIG LITTLE LIFE,Dean Koontz
48997,4/12/2014,4/27/2014,,,9.0,812993012,9.78081E+12,"How managers can develop an environment that promotes creativity, by the co-founder and president of Pixar Animation.","CREATIVITY, INC",Ed Catmull with Amy Wallace
49048,4/12/2014,4/27/2014,,,15.0,006229069X,9.78006E+12,Essays by well-known conservatives explain how the movement developed.,BIG TENT,edited  Mallory Factor and Elizabeth Factor
49054,4/12/2014,4/27/2014,,,16.0,145550176X,9.78146E+12,"The author of “Nickel and Dimed” recalls an adolescent mystical experience and reflects on science, religion and life’s meaning. ",LIVING WITH A WILD GOD,Barbara Ehrenreich
49081,4/12/2014,4/27/2014,,,20.0,1591846706,9.78159E+12,A portfolio manager warns of the coming collapse of the dollar and the international monetary system and urges small investors to convert money into land and gold.,THE DEATH OF MONEY,James Rickards
49258,8/30/2014,9/14/2014,,,7.0,1402233752,9.7814E+12,The story of an autistic boy and the dog that unlocked his world.,A FRIEND LIKE HENRY,Nuala Gardner
49296,8/30/2014,9/14/2014,,,13.0,1441207848,9.78144E+12,A Muslim woman’s dangerous conversion to Christianity; originally published in 1978.,I DARED TO CALL HIM FATHER,Bilquis Sheikh with Richard H Schneider
49338,8/30/2014,9/14/2014,,,20.0,1409046435,9.78141E+12,A history of everyday life in Britain during World War II; first published in 1971.,HOW WE LIVED THEN,Norman Longmate
49401,7/16/2016,7/31/2016,,,10.0,1497659272,9.7815E+12,The parallel lives of George Armstrong Custer and the Oglala Sioux leader Crazy Horse. Originally published in 1975.,CRAZY HORSE AND CUSTER,Stephen Ambrose
49600,11/2/2013,11/17/2013,,,7.0,None,9.78035E+12,An appreciation of the dogs in Steel's life.,PURE JOY,Danielle Steel
49606,11/2/2013,11/17/2013,,,8.0,1476765111,9.78148E+12,"The comedian describes his experience with depression, addiction and recovery.",CRASH AND BURN,Artie Lange with Anthony Bozza
49657,11/2/2013,11/17/2013,,,15.0,805094202,9.78081E+12,"A journalist argues that the F.B.I., C.I.A. and others withheld information about Kennedy’s assassination from the Warren Commission. ",A CRUEL AND SHOCKING ACT,Philip Shenon
49669,11/2/2013,11/17/2013,,,17.0,,9.78148E+12,"A memoir by the comedian best known for his work on ""The Carol Burnett Show.""",WHAT'S SO FUNNY?,Tim Conway with Jane Scovell
49687,11/2/2013,11/17/2013,,,20.0,761177450,9.78076E+12,"Ten historical mysteries, based on the History Channel show “Brad Meltzer’s Decoded.”",HISTORY DECODED,Brad Meltzer with Keith Ferrell
49712,5/13/2017,5/28/2017,,,4.0,1455540188,9.78146E+12,The former secretary of state argues that the promotion of democracy should shape America’s foreign policy.,DEMOCRACY,Condoleezza Rice
49740,5/13/2017,5/28/2017,,,8.0,1501158945,9.7815E+12,Recollections from Jackie Kennedy’s longtime assistant.,JACKIE'S GIRL,Kathy McKeon
49758,5/13/2017,5/28/2017,,,11.0,031655944X,9.78032E+12,"A life in baseball, by the (now retired) Chicago Cubs catcher.",TEAMMATE,David Ross with Don Yaeger
49782,5/13/2017,5/28/2017,,,15.0,62641832,9.78006E+12,"A critical biography of Barack Obama, particularly focusing on his formative years.",RISING STAR,David J Garrow
49982,4/8/2017,4/23/2017,,,9.0,62409700,9.78006E+12,A memoir by the actor.,NEVERTHELESS,Alec Baldwin
50000,4/8/2017,4/23/2017,,,12.0,1101984406,9.7811E+12,Recollections of a 19-year career with the Atlanta Braves by the eight-time All-Star switch hitter.,BALLPLAYER,Chipper Jones with Carroll Rogers Walton
50141,9/22/2012,10/7/2012,,,18.0,1441240284,9.78144E+12,"The story of Justin Bieber's mother, who became pregnant as a teenager and overcame drug and alcohol addiction.",NOWHERE BUT UP,Pattie Mallette with A J Gregory
50268,6/22/2013,7/7/2013,,,17.0,62071475,9.78006E+12,The theory of intelligent design best explains the appearance of animals in the fossil record without apparent ancestors. ,DARWIN'S DOUBT,Stephen C Meyer
50388,5/27/2017,6/11/2017,,,15.0,1594206139,9.78159E+12,A dual biography of two independent thinkers.,CHURCHILL AND ORWELL,Thomas E Ricks
50461,1/9/2016,1/24/2016,,,11.0,1555846041,9.78156E+12,The bloody battle between American forces and Somali street fighters in 1993. Originally published in 1999.,BLACK HAWK DOWN,Mark Bowden
50615,3/2/2013,3/17/2013,,,15.0,393087727,9.78039E+12,"The criminal career of the notorious Boston gangster, and the manhunt that led to his capture.",WHITEY BULGER,Kevin Cullen and Shelley Murphy
50627,3/2/2013,3/17/2013,,,17.0,None,9.7811E+12,"A look behind the scenes at the Vatican, by the (now retired) longtime Rome bureau chief of the Catholic News Service.",THE VATICAN DIARIES,John Thavis
50725,3/3/2018,3/18/2018,,,12.0,385542763,9.78039E+12,The physicist describes how humans might develop civilization in outer space and possibly become immortal.,THE FUTURE OF HUMANITY,Michio Kaku
50847,5/9/2015,5/24/2015,,,15.0,1250033799,9.78125E+12,An account of three wild decades of drumming for the Grateful Dead.,DEAL,Bill Kreutzmann with Benjy Eisen
50873,5/9/2015,5/24/2015,,,19.0,62385321,9.78006E+12,Celebrating ten years of “Freakonomics” with a collection of curated economic blog posts from its companion website.,WHEN TO ROB A BANK,Steven D Levitt and Stephen J Dubner
50915,8/8/2020,8/23/2020,,,6.0,358048001,9.78036E+12,A look at how social movements evolve and ways in which activists can sustain their efforts.,MAKE CHANGE,Shaun King
50933,8/8/2020,8/23/2020,,,9.0,385536739,9.78039E+12,"The CNN chief legal analyst weaves a narrative of the Mueller investigation, President Trump’s impeachment and transgressions by key Trump figures.",TRUE CRIMES AND MISDEMEANORS,Jeffrey Toobin
51047,7/9/2016,7/24/2016,,,12.0,1476756104,9.78148E+12,"A history of the popular and influential sitcom, which ran from 1989 to 1998.",SEINFELDIA,Jennifer Keishin Armstrong
51061,7/9/2016,7/24/2016,,,14.0,1476741190,9.78148E+12,A critical biography of the 43rd president.,BUSH,Jean Edward Smith
51067,7/9/2016,7/24/2016,,,15.0,62458213,9.78006E+12,An account of success and failure in the tech industry.,CHAOS MONKEYS,Antonio García Martínez
51135,5/9/2020,5/24/2020,,,6.0,62862758,9.78006E+12,"The actress starts a family, transplants to a working farm and revitalizes a candy store in Rhinebeck, N.Y.",THE RURAL DIARIES,Hilarie Burton Morgan
51141,5/9/2020,5/24/2020,,,7.0,1501191918,9.7815E+12,The identical twins and WWE Hall of Famers share some of the challenges they faced.,INCOMPARABLE,Brie Bella and Nikki Bella
51357,9/19/2015,10/4/2015,,,6.0,,9.78006E+12,"The fate of 230 Frenchwomen, members of the Resistance, sent to Auschwitz in 1943; originally published in 2011.",A TRAIN IN WINTER,Caroline Moorehead
51377,9/19/2015,10/4/2015,,,9.0,62223062,9.78006E+12,"The author of “The Liars’ Club,”  “Cherry” and “Lit” offers instruction in memoir-writing and discusses her favorite writers’ work.",THE ART OF MEMOIR,Mary Karr
51408,9/19/2015,10/4/2015,,,14.0,1455533769,9.78146E+12,A former right-wing operative describes his transformation and passionately defends Hillary Clinton,KILLING THE MESSENGER,David Brock
51544,11/26/2016,12/11/2016,,,16.0,1250115655,9.78125E+12,"From Woody Allen to Warren Zevon, an alphabetical list (with anecdotes) of the celebrities Griffin has met during her years in show business.",KATHY GRIFFIN'S CELEBRITY RUN-INS,Kathy Griffin
51617,3/5/2011,3/20/2011,,,7.0,307719324,9.78031E+12,"The actress examines her struggles with alcohol, relationships and breast cancer.",UNTIED,Meredith Baxter
51774,8/3/2019,8/18/2019,,,12.0,1984817272,9.78198E+12,A memoir by the former frontman of the alternative rock band Ben Folds Five.,A DREAM ABOUT LIGHTNING BUGS,Ben Folds
51780,8/3/2019,8/18/2019,,,13.0,1250245885,9.78125E+12,"The former governor of Virginia describes the forces and events behind the ""Unite the Right"" rally and suggests ways to prevent similar occurrences in the future.",BEYOND CHARLOTTESVILLE,Terry McAuliffe
51877,10/1/2011,10/16/2011,,,13.0,1439190135,9.78144E+12,The German shepherd’s journey from orphaned puppy to movie star and international celebrity.,RIN TIN TIN,Susan Orlean
51904,10/1/2011,10/16/2011,,,17.0,393064476,9.78039E+12,A Renaissance book hunter rediscovered Lucretius’ classic “On the Nature of Things” and kept it from disappearing.,THE SWERVE,Stephen Greenblatt
52026,12/22/2012,1/6/2013,,,16.0,316227706,9.78032E+12,"Portraits of dogs paddling, chasing and churning chaotically in swimming pools and ponds.",UNDERWATER DOGS,Seth Casteel
52039,12/22/2012,1/6/2013,,,18.0,1594203768,9.78159E+12,The life and times of Joseph P. Kennedy.,PATRIARCH,David Nasaw
52045,12/22/2012,1/6/2013,,,19.0,316133264,9.78032E+12,A wry encyclopedia from the satirical news publication.,THE ONION BOOK OF KNOWN KNOWLEDGE,the staff of The Onion
52132,7/4/2015,7/19/2015,,,12.0,812996410,9.78081E+12,"A memoir by a former Israeli ambassador to the United States, now a Knesset member.",ALLY,Michael B Oren
52144,7/4/2015,7/19/2015,,,14.0,1592985750,9.78159E+12,Letters to his three sons from an Army lieutenant colonel who learned he had Stage 4 cancer; originally published in 2013.,TELL MY SONS,Mark M Weber
52150,7/4/2015,7/19/2015,,,15.0,307462536,9.78031E+12,A biography of the actor; originally published in 2009.,PAUL NEWMAN,Shawn Levy
52382,11/29/2014,12/14/2014,,,9.0,None,9.78145E+12,Volume 17 of the Crime Files true-crime series.,LYING IN WAIT,Ann Rule
52424,11/29/2014,12/14/2014,,,15.0,307777820,9.78031E+12,"The first volume of a biography of the 26th president, covering the years 1858 to 1901; a version of a volume first published in 1979.",THE RISE OF THEODORE ROOSEVELT,Edmund Morris
52551,1/7/2017,1/22/2017,,,15.0,1455587974,9.78146E+12,Protecting genetic structures called telomeres through diet and lifestyle changes in order to increase health and combat aging.,THE TELOMERE EFFECT,Elizabeth Blackburn and Elissa Epel
52821,1/3/2015,1/18/2015,,,16.0,None,A00B00ALCKQGA,A couple leave their Spanish mountain village to work for a year in the Middle East on the eve of the Arab revolution; from Spain to Bahrain.,TWO OLD FOOLS ON A CAMEL,Victoria Twead
52833,1/3/2015,1/18/2015,,,18.0,None,9.78096E+12,"A concise overview, with 32 maps.",A SHORT HISTORY OF THE WORLD,Christopher Lascelles
52920,3/27/2021,4/11/2021,,,12.0,593137957,9.78059E+12,The neuroscientist and novelist explores the strengths and weaknesses of memory.,REMEMBER,Lisa Genova
53009,5/4/2019,5/19/2019,,,11.0,1501187651,9.7815E+12,"A black American woman marries a Sicilian man, and finds solace in food and family after tragedy strikes.",FROM SCRATCH,Tembi Locke
53027,5/4/2019,5/19/2019,,,14.0,399588396,9.7804E+12,A dozen essays based on short phrases that have defined some of the memoir writer's close relationships.,TELL ME MORE,Kelly Corrigan
53033,5/4/2019,5/19/2019,,,15.0,006227564X,9.78006E+12,A minute-by-minute account of the events of 9/11 interwoven with stories from victims and survivors.,FALL AND RISE,Mitchell Zuckoff
53089,5/30/2015,6/14/2015,,,8.0,125006581X,9.78125E+12,"Stories of life, death and operating on the brain from the neurosurgeon featured in the documentary film “The English Surgeon.”",DO NO HARM,Henry Marsh
53263,7/21/2012,8/5/2012,,,14.0,1451698151,9.78145E+12,"A professor at Grove City College argues that Frank Marshall Davis, an elderly black Communist whom Barack Obama met as a teenager in Honolulu, was his secret mentor.",THE COMMUNIST,Paul Kengor
53296,7/21/2012,8/5/2012,,,19.0,1439177325,9.78144E+12,A memoir about living with anxiety.,MONKEY MIND,Daniel Smith
53302,7/21/2012,8/5/2012,,,20.0,1593157207,9.78159E+12,A high-tech entrepreneur discusses the transformative potential of mobile computing.,MOBILE WAVE,Michael Saylor
53379,7/5/2014,7/20/2014,,,11.0,345514920,9.78035E+12,An account of Queen Victoria’s marriage to Prince Albert; first published in 2009.,WE TWO,Gillian Gill
53405,7/5/2014,7/20/2014,,,15.0,1588363295,9.78159E+12,An account of the friendship between Franklin D. Roosevelt and Winston Churchill; first published in 2003.,FRANKLIN AND WINSTON,Jon Meacham
53493,9/13/2014,9/28/2014,,,8.0,1441208119,9.78144E+12,One woman's harrowing escape from the World Trade Center on 9/11.,BETWEEN HEAVEN AND GROUND ZERO,Leslie Haskin
53529,9/13/2014,9/28/2014,,,14.0,385347383,9.78039E+12,What data from social media reveal about human nature.,DATACLYSM,Christian Rudder
53535,9/13/2014,9/28/2014,,,15.0,345507185,9.78035E+12,"Humorous essays on germs, laser hair removal and airplane etiquette.",THE IDIOT GIRL AND THE FLAMING TANTRUM OF DEATH,Laurie Notaro
53561,9/13/2014,9/28/2014,,,19.0,1594205701,9.78159E+12,A memoir of life in sophisticated New York by Bergdorf Goodman's legendary personal shopper.,I'LL DRINK TO THAT,Betty Halbreich with Rebecca Paley
53567,9/13/2014,9/28/2014,,,20.0,804179077,9.7808E+12,The New York senator tells her personal story and urges women to become more involved in politics.,OFF THE SIDELINES,Kirsten Gillibrand with Elizabeth Weil
53597,9/11/2021,9/26/2021,,,5.0,1982158247,9.78198E+12,The hip-hop recording artist known as Logic tells his life story.,THIS BRIGHT FUTURE,Bob Hall
53609,9/11/2021,9/26/2021,,,7.0,1538704196,9.78154E+12,The Disney child star of the 1960s and daughter of an acclaimed British actor shares some of her experiences in Hollywood.,FOREVER YOUNG,Hayley Mills
53639,9/11/2021,9/26/2021,,,12.0,1982165731,9.78198E+12,Conversations that explore what America is and what it could be with leaders in various fields.,THE AMERICAN EXPERIMENT,David M. Rubenstein
53657,9/11/2021,9/26/2021,,,15.0,593330250,9.78059E+12,A memoir by the first F.D.N.Y. chief to respond to the 9/11 attacks at the World Trade Center.,ORDINARY HEROES,Joseph Pfeifer
53795,7/3/2021,7/18/2021,Combined Print & E-Book Nonfiction,15.0,1.0,006306605X,9.78006E+12,Two Washington Post journalists give an account of the Trump administration’s handling of the Covid-19 pandemic.,NIGHTMARE SCENARIO,Yasmeen Abutaleb and Damian Paletta
53807,7/3/2021,7/18/2021,,,3.0,62958690,9.78006E+12,The soccer commentator describes how he embraced American popular culture while growing up in Liverpool.,(RE)BORN IN THE USA,Roger Bennett
53855,7/3/2021,7/18/2021,,,11.0,593230809,9.78059E+12,A journalist for The Atlantic examines the historic forces that fed the intentions of the Trump administration.,THE CRUELTY IS THE POINT,Adam Serwer
53999,10/8/2011,10/23/2011,,,18.0,159240653X,9.78159E+12,"A portrait of the superstar running back Walter Payton, who died in 1999.",SWEETNESS,Jeff Pearlman
54047,4/5/2014,4/20/2014,,,6.0,62308254,9.78006E+12,A libertarian manifesto by the president and C.E.O. of FreedomWorks.,DON'T HURT PEOPLE AND DON'T TAKE THEIR STUFF,Matt Kibbe
54068,4/5/2014,4/20/2014,,,8.0,1476763305,9.78148E+12,"The “Duck Dynasty” wives discuss their marriages, families and faith.  ",THE WOMEN OF DUCK COMMANDER,Kay Robertson and others with Beth Clarkl
54074,4/5/2014,4/20/2014,,,9.0,None,9.78076E+12,A daughter traces her German mother’s harrowing experiences in World War II and after.,LETTERS FROM BERLIN,Margarete Dos and Kerstin Lieff
54249,11/12/2016,11/27/2016,,,16.0,1495024423,9.7815E+12,A biography of the lead singer and songwriter of the alternative metal group Tool.,A PERFECT UNION OF CONTRARY THINGS,Sarah Jensen with Maynard James Keenan
54287,11/6/2021,11/21/2021,,,2.0,593241312,9.78059E+12,The founder of the YouTube channel Kurzgesagt gives an overview of elements of the body’s immune system.,IMMUNE,Philipp Dettmer
