results__list_name,results__bestsellers_date,results__published_date,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
Race and Civil Rights,9/26/2015,10/11/2015,4,385528205,9.78E+12,"A tale of two Wes Moores: the author, a Rhodes scholar; the other, a man in prison.",THE OTHER WES MOORE,Wes Moore
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,5,307378454,9.78E+12,A memoir by the Pulitzer Prize-winning critic explores the complications of life as a member of Chicago's black elite.,NEGROLAND,Margo Jefferson
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,6,1555976905,9.78E+12,Prose poems examine the experience of race and racism in our fractured society.,CITIZEN,Claudia Rankine
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,7,1250044634,9.78E+12,A doctor reflects on race and medicine.,BLACK MAN IN A WHITE COAT,Damon Tweedy
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,8,1476731918,9.78E+12,The story of a brilliant young man from a New Jersey ghetto who graduated from Yale but was murdered as a drug dealer at age 30.,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE,Jeff Hobbs
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,9,307957195,9.78E+12,Thurgood Marshall and his nomination to the Supreme Court.,SHOWDOWN,Wil Haygood
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,10,1603093001,9.78E+12,Representative John Lewis of Georgia describes his childhood and the beginning of his involvement in the civil rights movement. The first volume of a trilogy.,MARCH: BOOK ONE,John Lewis and Andrew Aydin
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,9/26/2015,10/11/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,1,1595586431,9.78E+12,A law professor takes aim at the “war on drugs” and its impact on black men.,THE NEW JIM CROW,Michelle Alexander
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,2,385528205,9.78E+12,"A tale of two Wes Moores: the author, a Rhodes scholar; the other, a man in prison.",THE OTHER WES MOORE,Wes Moore
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,3,812994523,9.78E+12,The executive director of the Equal Justice Initiative in Alabama describes his work in defense of poor people and the unjustly accused.,JUST MERCY,Bryan Stevenson
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,4,62097717,9.78E+12,"The Pulitzer Prize-winning account of four black men who were falsely accused of raping a 17-year-old white woman in Groveland, Fla., in 1949.",DEVIL IN THE GROVE,Gilbert King
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,5,1555976905,9.78E+12,Prose poems examine the experience of race and racism in our fractured society.,CITIZEN,Claudia Rankine
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,6,1603093001,9.78E+12,Representative John Lewis of Georgia describes his childhood and the beginning of his involvement in the civil rights movement. The first volume of a trilogy.,MARCH: BOOK ONE,John Lewis and Andrew Aydin
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,7,1603094008,9.78E+12,"Representative John Lewis of Georgia continues his memoir of the civil rights movement. In this volume, he recounts the March on Washington in 1963, among other events.",MARCH: BOOK TWO,John Lewis and Andrew Aydin
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,8,807014524,9.78E+12,Courage and healing in one of America's toughest communities.,PROJECT FATHERHOOD,Jorja Leap
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,9,393339726,9.78E+12,How stereotypes affect us and what we can do about it.,WHISTLING VIVALDI,Claude M Steele
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,10,62268678,9.78E+12,The period after the Brown v. Board of Education decision when one Virginia school system refused to integrate.,SOMETHING MUST BE DONE ABOUT PRINCE EDWARD COUNTY,Kristen Green
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,11,1416948821,9.78E+12,"The memoir of the 1957 battle to integrate Little Rock's Central High School, by one of the nine students who did so.",WARRIORS DON'T CRY,Melba Pattillo Beals
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,12,679763880,9.78E+12,"An account of the Great Migration of 1915-70, in which nearly six million African-Americans abandoned the South.",THE WARMTH OF OTHER SUNS,Isabel Wilkerson
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,13,1476799830,9.78E+12,,REACH,edited  Benjamin Jealous and Trabian Shorters
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,14,312661053,9.78E+12,,CLAUDETTE COLVIN,Phillip Hoose
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,15,307962660,9.78E+12,,ORDINARY LIGHT,Tracy K Smith
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,6/27/2015,7/12/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,1,812993543,9.78E+12,"A meditation on race in America as well as a personal story by the national correspondent of The Atlantic, framed as a letter to his teenage son.",BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,2,081298496X,9.78E+12,A law professor and MacArthur grant recipient's memoir of his decades of work to free innocent people condemned to death.,JUST MERCY,Bryan Stevenson
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,3,1595586431,9.78E+12,A law professor takes aim at the “war on drugs” and its impact on black men.,THE NEW JIM CROW,Michelle Alexander
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,4,385528205,9.78E+12,"A tale of two Wes Moores: the author, a Rhodes scholar; the other, a man in prison.",THE OTHER WES MOORE,Wes Moore
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,5,1476731918,9.78E+12,The story of a brilliant young man from a New Jersey ghetto who graduated from Yale but was murdered as a drug dealer at age 30.,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE,Jeff Hobbs
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,6,1555976905,9.78E+12,Prose poems examine the experience of race and racism in our fractured society.,CITIZEN,Claudia Rankine
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,7,1416948821,9.78E+12,"The memoir of the 1957 battle to integrate Little Rock's Central High School, by one of the nine students who did so.",WARRIORS DON'T CRY,Melba Pattillo Beals
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,8,1603093001,9.78E+12,Representative John Lewis of Georgia describes his childhood and the beginning of his involvement in the civil rights movement. The first volume of a trilogy.,MARCH: BOOK ONE,John Lewis and Andrew Aydin
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,9,1603094008,9.78E+12,"Representative John Lewis of Georgia continues his memoir of the civil rights movement. In this volume, he recounts the March on Washington in 1963, among other events.",MARCH: BOOK TWO,John Lewis and Andrew Aydin
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,10,679763880,9.78E+12,"An account of the Great Migration of 1915-70, in which six million African-Americans abandoned the South.",THE WARMTH OF OTHER SUNS,Isabel Wilkerson
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,8/29/2015,9/13/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,1,812993543,9.78E+12,"A meditation on race in America as well as a personal story by the national correspondent of The Atlantic, framed as a letter to his teenage son.",BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,2,385528205,9.78E+12,"A tale of two Wes Moores: the author, a Rhodes scholar; the other, a man in prison.",THE OTHER WES MOORE,Wes Moore
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,3,1595586431,9.78E+12,A law professor takes aim at the “war on drugs” and its impact on black men.,THE NEW JIM CROW,Michelle Alexander
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,4,812994523,9.78E+12,The executive director of the Equal Justice Initiative in Alabama describes his work in defense of poor people and the unjustly accused.,JUST MERCY,Bryan Stevenson
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,5,62098047,9.78E+12,A memoir and satirical look at the complexities of racial politics.,HOW TO BE BLACK,Baratunde Thurston
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,6,770437761,9.78E+12,A law professor brings forth his evidence that the justice system is fundamentally broken.,UNFAIR,Adam Benforado
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,7,1603093001,9.78E+12,Representative John Lewis of Georgia describes his childhood and the beginning of his involvement in the civil rights movement. The first volume of a trilogy.,MARCH: BOOK ONE,John Lewis and Andrew Aydin
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,8,1555976905,9.78E+12,Prose poems examine the experience of race and racism in our fractured society.,CITIZEN,Claudia Rankine
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,9,62268678,9.78E+12,The period after the Brown v. Board of Education decision when one Virginia school system refused to integrate.,SOMETHING MUST BE DONE ABOUT PRINCE EDWARD COUNTY,Kristen Green
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,10,1416948821,9.78E+12,"The memoir of the 1957 battle to integrate Little Rock's Central High School, by one of the nine students who did so.",WARRIORS DON'T CRY,Melba Pattillo Beals
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,11,1603094008,9.78E+12,"Representative John Lewis of Georgia continues his memoir of the civil rights movement. In this volume, he recounts the March on Washington in 1963, among other events.",MARCH: BOOK TWO,John Lewis and Andrew Aydin
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,12,679763880,9.78E+12,"An account of the Great Migration of 1915-70, in which nearly six million African-Americans abandoned the South.",THE WARMTH OF OTHER SUNS,Isabel Wilkerson
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,13,147673190X,9.78E+12,The story of a brilliant young man from a New Jersey ghetto who graduated from Yale but was murdered as a drug dealer at age 30.,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE,Jeff Hobbs
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,14,374534985,9.78E+12,"Four undocumented teenagers, one ugly robot and the battle for the American Dream.",SPARE PARTS,Joshua Davis
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,15,143106708,9.78E+12,"The narrative, first published in 1853, of a freeman who was sold into slavery and spent 12 years in bondage before escaping. The basis of the movie.",TWELVE YEARS A SLAVE,Solomon Northup
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,7/25/2015,8/9/2015,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,1,812993543,9.78E+12,"A meditation on race in America as well as a personal story by the national correspondent of The Atlantic, framed as a letter to his teenage son.",BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,2,1595586431,9.78E+12,A law professor takes aim at the “war on drugs” and its impact on black men.,THE NEW JIM CROW,Michelle Alexander
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,3,081298496X,9.78E+12,A law professor and MacArthur grant recipient's memoir of his decades of work to free innocent people condemned to death.,JUST MERCY,Bryan Stevenson
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,4,1555976905,9.78E+12,Prose poems examine the experience of race and racism in our fractured society.,CITIZEN,Claudia Rankine
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,5,1587433427,9.78E+12,How people of spiritual faith can work together to eliminate racism and to create bridges between divided and diverse cultures.,AMERICA'S ORIGINAL SIN,Jim Wallis
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,6,385528205,9.78E+12,"A tale of two Wes Moores: the author, a Rhodes scholar; the other, a man in prison.",THE OTHER WES MOORE,Wes Moore
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,7,375713964,9.78E+12,The history of the fabric and its dominance as a coveted global commodity -- one that led to the enslavement of African workers by planters and which today drives modern capitalism.,EMPIRE OF COTTON,Sven Beckert
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
Race and Civil Rights,1/30/2016,2/14/2016,,,,,,
